Gene,LogFC,PValue,FDR
PILRA,0.2096216162462063,1.8259629892772964e-06,0.0009694097634448818
TYROBP,0.1846937297184148,1.8269731234769088e-06,0.0009694097634448818
MGAT1,0.1650744896891023,1.887121088570629e-06,0.0009774837924250962
RPS6KA1,0.1855174081440402,2.027362207599441e-06,0.0010147545570134379
LILRA2,0.2240371506333076,2.052364996947427e-06,0.0010147545570134379
PTPN6,0.1914867162148006,2.321335853953416e-06,0.0010251983809662938
KIR3DL3,0.2482163090128759,2.3772702022990083e-06,0.0010251983809662938
CXCL16,0.1969769496493265,2.392489054412772e-06,0.0010251983809662938
PLAUR,0.1750013538504466,2.402075965249117e-06,0.0010251983809662938
EFHD2,0.2111256673296342,2.4214368743164315e-06,0.0010251983809662938
MAST3,0.1919237935727018,2.4753003376905734e-06,0.0010251983809662938
SPI1,0.3113553229352046,2.512556835856784e-06,0.0010251983809662938
GNB2,0.2025365225583577,2.5182766708416424e-06,0.0010251983809662938
P2RX1,0.2266598136710982,2.5387037126156403e-06,0.0010251983809662938
RNF19B,0.3051759133256571,2.5447351216814467e-06,0.0010251983809662938
TFE3,0.1077393227258465,2.7213869502340104e-06,0.001069111595396735
OS9,0.1591886841829772,2.837210280417541e-06,0.001069111595396735
NCF1,0.1710742803307852,2.8856629451695285e-06,0.001069111595396735
UPF1,0.1322407830001051,2.906481307724893e-06,0.001069111595396735
IFITM2,0.1495039778080169,2.916131956348788e-06,0.001069111595396735
KDM6B,0.2264289793782055,2.9485955285591403e-06,0.001069111595396735
ZBED1,0.1926497958756412,3.0732478308916997e-06,0.0010921765818503086
SIRPB1,0.1715294322900318,3.112615402193479e-06,0.0010921765818503086
CTSD,0.1965386998848535,3.2272321483987792e-06,0.0011144196093399276
DGKH,-0.079889952894379,3.4327260662967945e-06,0.0011511499559204348
FES,0.2041246519417985,3.461412514607024e-06,0.0011511499559204348
PREX1,0.1746598555427638,3.492341856619108e-06,0.0011511499559204348
MIR6837,0.195781576468125,3.596693760693049e-06,0.001167851832296676
S100A11,0.1894135454830952,3.6673665233812746e-06,0.001173287628178818
LOC100130872,0.2137951219512217,3.8137774503893175e-06,0.0012024453396118782
SIRPD,0.1441064796399045,4.047544349643493e-06,0.001227307748585538
FAM102A,-0.1051192295613931,4.055485615958577e-06,0.001227307748585538
AMPD2,0.1902972260023023,4.083496615050834e-06,0.001227307748585538
MMP9,0.3827957081545072,4.118293065812193e-06,0.001227307748585538
LAT2,0.1062566000209361,4.349752577628704e-06,0.001261927468702656
CUEDC1,0.1450514916780063,4.3680379200460175e-06,0.001261927468702656
LTB4R,0.1673847028856547,4.408480240009279e-06,0.001261927468702656
IQSEC1,0.1387829687009318,4.5072151016642e-06,0.001273434604372788
CA4,0.2370536794724165,4.640895921567033e-06,0.0012943934714575744
CTDSP1,0.155002637914789,4.721355416915495e-06,0.0013001656594303366
NINJ1,0.2166674761854921,5.053946510348904e-06,0.0013743575791580053
IL17RA,0.1698533078614055,5.130117999261736e-06,0.0013778483589375193
MYD88,0.1395368156600014,5.294269019186534e-06,0.0013812109993086475
SLC44A2,0.1642001256149896,5.421476197216576e-06,0.0013812109993086475
TFEB,0.1620913325656854,5.442913335940151e-06,0.0013812109993086475
GBAP1,0.1632342928922856,5.445353337775912e-06,0.0013812109993086475
MYO1F,0.17236526745525,5.490968616432488e-06,0.0013812109993086475
FGR,0.1971408772113481,5.523574210059863e-06,0.0013812109993086475
OSCAR,0.248627363131999,5.780362621394107e-06,0.0014289976003230545
CMIP,0.1549624760110255,6.007511151911645e-06,0.001452724643285941
BCL2,-0.0974838375379461,6.009892801458731e-06,0.001452724643285941
JARID2,0.1172947555741661,6.183858276598103e-06,0.0014783498550262827
GRN,0.2099978296521154,6.35776262800671e-06,0.0014836144849855939
PSTPIP1,0.1655550298335608,6.3690979654001086e-06,0.0014836144849855939
BRMS1,0.1129505286297503,6.515771970320213e-06,0.0014836144849855939
CHST15,0.1396706165602408,6.538519833978629e-06,0.0014836144849855939
CST7,0.2561702292473562,6.610545951887468e-06,0.0014836144849855939
SLC11A1,0.121631145538922,6.6150588390532105e-06,0.0014836144849855939
GRK6,0.1140230869883804,6.775407398030567e-06,0.0014969747132701065
SLX1B-SULT1A4,0.134704965281414,6.864422934198735e-06,0.0014969747132701065
ATG13,0.1068413552461704,6.8810605068724725e-06,0.0014969747132701065
ACTN4,0.2762146341463403,6.977693865723165e-06,0.0014977749462717978
NLRX1,0.1145938134617399,7.022433671327207e-06,0.0014977749462717978
PLEKHO2,0.149843881503191,7.09441951215242e-06,0.0014984378299696688
SRA1,0.1188985763634464,7.290221290607877e-06,0.001524988117088215
NHSL2,0.1579716319480786,7.4312446416535475e-06,0.001539683115992123
DOK3,0.1533494818381644,7.734166817628866e-06,0.0015873282935614714
DIRC2,0.1807265780383149,7.98620885413099e-06,0.0016237380712300906
DYSF,0.2345629854495978,8.06533760037629e-06,0.0016246427731128352
SLPI,0.2678298544959698,8.149450080626756e-06,0.0016265255642572026
ZDHHC18,0.1105106249345757,8.300226687423182e-06,0.0016415584689535574
RAB1B,0.1469084685439146,8.503852018275038e-06,0.0016666783843024635
SERPINA1,0.1212981785826441,8.801966511335296e-06,0.001709703405840173
LOC101928429,0.2445194807913733,8.89760036916389e-06,0.0017129849206297383
TNFRSF1B,0.133084182979168,9.36268788793981e-06,0.0017742993297262955
DGAT2,0.2069741233120492,9.379196640704389e-06,0.0017742993297262955
C17orf62,0.152551931330473,9.514456782877028e-06,0.001775447354750862
CEBPA,0.1901062074740922,9.548487267563818e-06,0.001775447354750862
LILRB3,0.1768172563592571,1.008309252636533e-05,0.0018551766924534813
KIR2DL4,0.146475941240098,1.0147829299102012e-05,0.0018551766924534813
ITGA5,0.1553742698628681,1.0633472703291958e-05,0.0019109474006395693
ARHGAP26,0.1496049931958536,1.0672127162514938e-05,0.0019109474006395693
GMPR2,0.1988264210195724,1.0716413830293149e-05,0.0019109474006395693
TKT,0.1577352664084585,1.0853375578579809e-05,0.0019180400840323746
PPP1R10,0.1398041348267549,1.0932519899793816e-05,0.0019180400840323746
TRPC4AP,0.1496401339893225,1.1230941634215469e-05,0.00195463308201886
NLRP12,0.1846176070344398,1.1467163374947513e-05,0.0019647391223247324
TRAPPC1,0.1993864545169064,1.1469633120443164e-05,0.0019647391223247324
CALCOCO1,0.1280229247356858,1.1616520226089256e-05,0.001965871317168397
HLA-E,0.1128916082208046,1.1656970807387877e-05,0.001965871317168397
HSD17B1,0.0874383335077979,1.1747619948720951e-05,0.001965919015264802
FLOT2,0.2512295613943269,1.1982870053258324e-05,0.0019799036348473065
ADGRE5,0.2133385533340313,1.2013205230974234e-05,0.0019799036348473065
MAPKAPK2,0.1204341114484099,1.2409841249029645e-05,0.0020298954614484206
FTH1P5,0.1141818695697711,1.3034202319735146e-05,0.0021053652170362493
BMX,0.266606699466136,1.3064780707878356e-05,0.0021053652170362493
ATP6V0D1,0.1907591332565701,1.3187984490308346e-05,0.0021095926660783682
MX2,0.1831533968386889,1.3620887088949755e-05,0.002156537765910432
KIR2DL2,0.222550256463939,1.3679715545651096e-05,0.002156537765910432
TECPR2,0.1970019365644297,1.3929608036342272e-05,0.0021699072960059454
CSF1R,0.2037618339788558,1.3964009259518838e-05,0.0021699072960059454
SCAND1,0.1481437035486221,1.4220968006493914e-05,0.0021941642480941496
TMEM127,0.1047140933040235,1.4565193348255777e-05,0.0022314491640232706
HCK,0.1988622840992331,1.470319051732707e-05,0.0022368385294017513
CFP,0.2297182874489678,1.5233482088875462e-05,0.0022940305748806187
YIPF3,0.1677402910080587,1.5349432816345994e-05,0.0022940305748806187
HLA-G,0.1234849157332789,1.539547064732569e-05,0.0022940305748806187
RIN3,0.1170213824627515,1.628862155785544e-05,0.002410605183613232
C10orf54,0.1603643672144876,1.679350439572727e-05,0.002468531676547613
B3GNTL1,0.1247592065319773,1.7026955097413158e-05,0.002470751942190411
TYK2,0.1802613838584754,1.7035752301933424e-05,0.002470751942190411
PGLYRP1,0.2790654035381559,1.7303817960523858e-05,0.002493010329345672
GAB2,0.1524833036742396,1.775710294267749e-05,0.0025314745604909884
MSRB1,0.1600638542866104,1.7836157770663856e-05,0.0025314745604909884
MICU1,0.1558173558044595,1.799495880113875e-05,0.0025314745604909884
ROPN1L,0.177828388987753,1.8036247155876956e-05,0.0025314745604909884
USP12,-0.1634339893227263,1.833009022810987e-05,0.00255622508277263
TMEM120A,0.1829842771904113,1.8696487679552532e-05,0.002590713945660289
INAFM1,0.2681301999371923,1.916031640232258e-05,0.0026381815400792897
LOC101929368,0.1720657856170833,1.9458263562346788e-05,0.0026623554955902792
ARRB2,0.159148832827384,1.9690639522332168e-05,0.002677311642552102
RNF24,0.2520270281586931,1.9993709341644315e-05,0.002701634451723429
STX10,0.1434253323563279,2.031837406513115e-05,0.002728256108694519
GLIPR2,0.1610610384172499,2.044154197734804e-05,0.002728256108694519
RAB37,0.1427658955302,2.06618015396191e-05,0.0027368477156021814
ATG2A,0.2108243483722409,2.075752117096575e-05,0.0027368477156021814
PPP1R15A,0.1946636553962095,2.1167125164970777e-05,0.002758606511597038
ELL,0.1249035067518073,2.131338293881265e-05,0.002758606511597038
BIN3,0.1592574060504556,2.137600417306591e-05,0.002758606511597038
OSBPL2,0.1686438500994453,2.1429763293950792e-05,0.002758606511597038
TSEN34,0.1707375693499422,2.2146668929848763e-05,0.002834122250405058
ORAI3,0.1402885585679891,2.2578220297515235e-05,0.0028724513600727713
SIPA1,0.1741666492201403,2.2926863822495112e-05,0.0028998483863859367
PRKCD,0.2650813147702298,2.3193305292364712e-05,0.00291659165685199
FOSL2,0.1675791688474825,2.386949012407129e-05,0.002984372170397534
ADAM8,0.1907562859834612,2.402924277960572e-05,0.0029871781524018425
TREM1,0.2326501622526962,2.438735554875818e-05,0.002991509313541603
ARSA,0.124956798911338,2.455244410750978e-05,0.002991509313541603
ZDHHC12,0.1230219198157653,2.4604332847294764e-05,0.002991509313541603
MIA-RAB4B,0.1548122404829213,2.4614119380553757e-05,0.002991509313541603
DEDD2,0.1311017481419458,2.515264360793132e-05,0.0030268513720865618
C5AR1,0.2187737045954154,2.5217150207246465e-05,0.0030268513720865618
MAPKAPK3,0.1188367319166738,2.532231439759845e-05,0.0030268513720865618
FKBP9,0.1763961687428032,2.574903515005072e-05,0.0030610396704336255
VASP,0.1562263791479115,2.589115712716256e-05,0.0030612071918555517
NCF1C,0.1696141735580454,2.6996551967700747e-05,0.0031746485840936744
CDA,0.2631557835234996,2.726743104085981e-05,0.003189263238139275
CXCR1,0.1915579189783294,2.787645081434508e-05,0.0032232925673461605
PSMB3,0.1538092117659371,2.7980637472563573e-05,0.0032232925673461605
KCTD2,0.0819317596566513,2.8002863490159702e-05,0.0032232925673461605
MID1IP1,0.180775337590286,2.849943240132323e-05,0.0032631850099515097
VPS37B,0.2028464984821516,2.884210360758088e-05,0.0032700142738884656
PPP1R18,0.1634604836177082,2.8859698487087352e-05,0.0032700142738884656
GPSM3,0.1638974877001988,2.902491485623568e-05,0.0032716944181212814
MIR7109,0.1666618235109389,2.926359690576044e-05,0.0032777521974326576
DCTN3,0.1149233539202345,2.93799898184035e-05,0.0032777521974326576
MVP,0.1613929027530609,2.9702396866459683e-05,0.00329681450933587
DGAT1,0.198515817020831,3.0870865575439944e-05,0.003401590303056107
KIR3DL2,0.2181236365539627,3.09877592527761e-05,0.003401590303056107
MYO9B,0.122170606092328,3.118688022606766e-05,0.003401590303056107
PLEKHF1,0.1552570920129792,3.127180237238434e-05,0.003401590303056107
TOM1,0.154272333298441,3.182678445955823e-05,0.0034334735929072773
HSH2D,0.2114084162043319,3.1880563813710413e-05,0.0034334735929072773
PDLIM7,0.1445712491214434,3.215122763067583e-05,0.0034455662911593724
STK10,0.1396786140479449,3.2313738783228137e-05,0.0034460068001427847
FLII,0.1279707735789825,3.3153790753246505e-05,0.00351834496505794
NR1H2,0.2233695802365742,3.3929840187377814e-05,0.003563780162863389
GMIP,0.1551906207474092,3.396956592466577e-05,0.003563780162863389
GPATCH3,0.1206346278655923,3.407337503450172e-05,0.003563780162863389
THBD,0.1887846330995506,3.530690937323219e-05,0.0036751282938500777
BAP1,0.1508716110122474,3.6024257885721315e-05,0.003731941572875558
NCF4,0.1881447817439543,3.6557723500649645e-05,0.0037692572263347537
RAB43,0.172791604731497,3.747879074243096e-05,0.0038459957198187997
STXBP2,0.1244205066471257,3.812536244550225e-05,0.0038939777464878002
MPZL3,0.1208685788059611,3.915984521801493e-05,0.0039809459472799754
CORO1A,0.1885477022924746,3.955728249369694e-05,0.004002645026280823
SSH1,0.0990715272689204,4.0553108606289736e-05,0.004073797924138746
PYCARD,0.1921337171569135,4.063498733799623e-05,0.004073797924138746
RNF169,0.1545817858264424,4.154515193936245e-05,0.00413648559460755
GTF3C1,0.1233755050769405,4.164055827253751e-05,0.00413648559460755
ACTB,0.1495461460623186,4.22763023101466e-05,0.004165269683043639
RHOH,-0.2041840154925145,4.23460655801645e-05,0.004165269683043639
NFAM1,0.1313311734533657,4.263131715113158e-05,0.004165269683043639
SLC9A1,0.0704401898182078,4.283122754219028e-05,0.004165269683043639
PRKCZ,0.1246799120695065,4.290473878235086e-05,0.004165269683043639
NIT1,0.1029003349733077,4.307909348126034e-05,0.004165269683043639
ACTN1,0.1258100806029514,4.341601512918065e-05,0.004179271721837722
GNAI2,0.1882355281063557,4.384130481557962e-05,0.004201619322744206
KMT2D,0.0889433930004539,4.4355669207020105e-05,0.0042322701035031685
ICAM3,0.1752164346278668,4.45985247059876e-05,0.004236859847068822
ETV6,0.1275838919711089,4.524144219517189e-05,0.004279250325895497
LETM2,0.1445896891028999,4.563616179866804e-05,0.004297899133896204
HK3,0.1757865382602315,4.681212026324449e-05,0.0043896451565813965
REPS2,0.1859919676192483,4.732636076791925e-05,0.004418819650240701
CLN3,0.127959499633623,4.797028786152308e-05,0.004451683485577622
MTMR3,0.1389405003663784,4.808759453508348e-05,0.004451683485577622
SIGLEC7,0.1179580097002688,4.834239949420519e-05,0.004456308902527263
TRIM21,0.1599493143515111,4.868926443562372e-05,0.004469345771295334
TPGS1,0.1102652255835865,5.000066751657951e-05,0.004570439167324317
APLP2,0.1307177666701564,5.095216099764903e-05,0.004637925784534957
NPLOC4,0.110727206113264,5.167276513401893e-05,0.004677736566691731
MIR6791,0.1358462472521724,5.181955930005548e-05,0.004677736566691731
URB1,-0.0782188143340665,5.291581960416459e-05,0.004756957254085127
PFN1,0.1763818905056027,5.352723009834032e-05,0.004792118892137423
LGR6,0.1618705118810837,5.448967502706719e-05,0.0048582904926796995
AP1M1,0.1792984088767939,5.534661376310567e-05,0.004896322608894095
ALDOA,0.1370038452144175,5.536815307405759e-05,0.004896322608894095
SELPLG,0.1626747095153344,5.5899749499005605e-05,0.004896322608894095
AKT1,0.1783762378310474,5.598310762457383e-05,0.004896322608894095
KIF1B,0.1220637548414114,5.622612215544008e-05,0.004896322608894095
TRANK1,0.183185952056947,5.6266635358470405e-05,0.004896322608894095
SASH3,0.1486749502773996,5.795010155312427e-05,0.005022726929435133
IER2,0.1182378938553334,5.863237138744064e-05,0.005061695394975282
ITPRIP,0.1336804773369628,6.015542932849648e-05,0.005172653616764588
CD300LF,0.1574084999476621,6.172808387538572e-05,0.0052793005836335215
RAB24,0.1731767193551778,6.188102269945061e-05,0.0052793005836335215
ARAP1,0.1356223943612828,6.332397250000165e-05,0.005361492494539024
POTEKP,0.1319012456819841,6.350672537824171e-05,0.005361492494539024
TOP3A,0.105070804982728,6.35837767681484e-05,0.005361492494539024
G6PD,0.2390046686904643,6.460240914892792e-05,0.005426352938358791
MAP7D1,0.1929021249869151,6.53000396289048e-05,0.005463855238949323
FAM84B,-0.0786191144143204,6.611458617887128e-05,0.005510815411192892
KLHDC8B,0.1548425206741335,6.651836241142935e-05,0.005523309062063532
CYBA,0.1091041243588399,6.974580345256951e-05,0.005769277392055702
CENPBD1P1,0.1441068215918202,7.023066859471613e-05,0.005787379527568369
HLA-B,0.1243745490072942,7.06073898990071e-05,0.005796467046237357
KAT8,0.0972888830733813,7.185167620905444e-05,0.0058764406613833805
CEBPB,0.1647580445933201,7.22569742871801e-05,0.005887454964859937
MYH9,0.1967653511985769,7.367533639339196e-05,0.005980622922530754
RAB11FIP1,0.1347350291356992,7.39714584769789e-05,0.0059823385842627365
TRAK2,-0.2323524233225153,7.606624129804947e-05,0.006107769744746403
SIPA1L1,0.1121998674063977,7.608391637905196e-05,0.006107769744746403
ARHGAP9,0.1805815136606305,7.714787175805685e-05,0.006170252551871743
CD74,0.1179200041871668,7.742950800556129e-05,0.006170252551871743
HAL,0.1315483792176977,7.813772935831056e-05,0.006203964606533016
PPP2R1A,0.1421890505600327,7.954947717046355e-05,0.006293086821248853
METRNL,0.1898903171778512,8.013645440633647e-05,0.006316552773948732
GRB2,0.0837218535189645,8.081923470526197e-05,0.006347373469360917
TYMP,0.2312888202658838,8.180815699343399e-05,0.006401929695655239
FMNL1,0.1828017690777752,8.398345002030375e-05,0.006548601989934438
PLBD1,0.1785535224536811,8.476607911708456e-05,0.006560902478598744
FAM53C,0.1513756306919269,8.494493552783874e-05,0.006560902478598744
VAV1,0.1199438082277826,8.504594341369091e-05,0.006560902478598744
PRKACA,0.1520348058201612,8.753302554121719e-05,0.006714007442189568
ARSK,-0.0724514253812067,8.783427478252796e-05,0.006714007442189568
INPP5D,0.1038485571722684,8.795642937366246e-05,0.006714007442189568
BEST1,0.1152183188527153,8.86188774987972e-05,0.006740921957994172
SLA,0.1593158484245798,9.024637176893424e-05,0.0068331855728250715
ACIN1,0.1674630796608402,9.046000666392188e-05,0.0068331855728250715
SLC45A4,0.1669886527792323,9.374033127717225e-05,0.006991820025987832
GCM1,0.112612100910709,9.400457782151866e-05,0.006991820025987832
ANK3,-0.1115941756516276,9.406406076947506e-05,0.006991820025987832
RGL4,0.2163706898356538,9.4098473285799e-05,0.006991820025987832
THEMIS2,0.1515295090547468,9.416700839413628e-05,0.006991820025987832
TSPAN14,0.1428518475871456,9.504600070996035e-05,0.007033059409778325
CSK,0.1325408144038533,9.536899682301108e-05,0.007033059409778325
BCL2L2-PABPN1,0.1303476708887263,9.74207524477702e-05,0.007160096180747435
HCLS1,0.1304834292892298,9.979153104920904e-05,0.007309645649749301
PFKFB4,0.1049604626818787,0.0001023218199477,0.0074698362179940045
PPM1M,0.1556689626295408,0.0001030511543081,0.007492022900174
PSAP,0.1233173662723743,0.00010331449644,0.007492022900174
RELT,0.1209051188108443,0.0001042255082893,0.007514803123482312
PCNX3,0.1826073275410875,0.0001045139169239,0.007514803123482312
ARF3,0.1323320213545482,0.0001046649205431,0.007514803123482312
ACSS2,0.118709096618863,0.0001058127240558,0.007572223065243187
LRRC34,-0.0569026274468758,0.0001068262334268,0.007619687567868964
STK40,0.0997729927771375,0.0001076017786289,0.007649923836835685
ARHGDIB,0.0854632820405445,0.0001088954817372,0.007716681450139368
DHX34,0.0858425625457979,0.0001099507958624,0.007766167415540624
PRR14,0.1778016469520906,0.0001119581523228,0.007841691283418046
CSF3R,0.2452388359677559,0.000111977242746,0.007841691283418046
LINC00173,0.1520335915419233,0.0001121014014775,0.007841691283418046
CEACAM4,0.1328126243065019,0.0001143684017074,0.00792879048423311
LRRN3,-0.3861755783523497,0.0001145757420415,0.00792879048423311
SLC15A4,0.0988624725217199,0.0001147678294351,0.00792879048423311
KLF7,0.1213283198995078,0.0001153459975724,0.00792879048423311
CDK6,-0.0742544152173581,0.0001153949393048,0.00792879048423311
PLPPR2,0.1696910708677919,0.0001155332835441,0.00792879048423311
RENBP,0.1982928085418187,0.0001162316198342,0.007935190858133653
GLT1D1,0.1487943263896163,0.0001166825326265,0.007935190858133653
ASMTL,0.1207638926689691,0.0001169649502677,0.007935190858133653
SLC43A2,0.1225710876164551,0.0001170855557555,0.007935190858133653
THAP8,0.1078612582434841,0.000119642712377,0.008083314309818743
INHBE,-0.0746734010258558,0.0001206144525443,0.008120629433025786
FCAR,0.1535826651313714,0.000120941573721,0.008120629433025786
ST6GALNAC2,0.1885107086779021,0.0001231323930154,0.008227126840854568
PITHD1,-0.1316639729229916,0.0001232839967878,0.008227126840854568
RNPEP,0.1609984507484547,0.0001241750361775,0.008253700634178428
UBE2M,0.1826337485606606,0.0001247872457567,0.008253700634178428
PADI2,0.1424651034579023,0.0001248203865155,0.008253700634178428
GPR107,0.0559636710980848,0.0001261792411679,0.008318270883659589
PTAFR,0.1487989392511934,0.0001275939902003,0.008386124642923041
TCIRG1,0.201899717366274,0.0001283932607441,0.008413239118939445
NOC4L,0.1031484769182453,0.0001292235955153,0.008414108886270498
SNAI3,0.1649650999685956,0.0001294822405908,0.008414108886270498
IFI30,0.1489003035695617,0.0001295668341485,0.008414108886270498
FERMT3,0.1335141002826336,0.000130582828696,0.00845484951869488
TSHZ3,0.1467411807809062,0.0001317834493547,0.008507266886384268
CUX1,0.133770049199204,0.0001328326027691,0.008549625068762634
PPME1,0.0631287623434166,0.0001337412352682,0.00858271555533832
CST4,0.0858231340940021,0.0001342059035809,0.008587204212948469
SEMA4B,0.1472550403014763,0.0001373155426523,0.008760409473316088
ADGRE2,0.1610681251962722,0.0001394251665936,0.008868989763870667
FKBP15,0.0725268606720384,0.0001400087014353,0.008880143730976536
CD14,0.2169928190097341,0.0001435105233715,0.009075789057985412
RNF166,0.18366046268188,0.0001446923908821,0.009105925067295066
TNFRSF1A,0.1585786454516888,0.000145133770132,0.009105925067295066
CEBPD,0.1470539307023965,0.0001452427487176,0.009105925067295066
PTK2B,0.1115692766670157,0.0001457236884426,0.009109824258818284
MIR4271,0.1639072647335897,0.0001463355043545,0.009121859304390106
XIST,-0.7541777399769716,0.0001474728894387,0.009149632167778905
CRISPLD2,0.1131876164555656,0.0001476598586929,0.009149632167778905
FCER1G,0.1755623992463117,0.0001482203270746,0.009149632167778905
TIMP1,0.1685657699152098,0.0001484633488957,0.009149632167778905
PPP1CA,0.1193557207160029,0.0001504497069769,0.009245856992323331
EMP3,0.109747765099966,0.00015275453041,0.009345765485193088
SBNO2,0.2013799748770024,0.0001529346133178,0.009345765485193088
POR,0.1629498168114729,0.0001534993535885,0.009354001224979881
DENND3,0.1574861718831792,0.0001554264855668,0.009444980987446184
CD63,0.1087712551031128,0.0001586793816999,0.00961579372947444
ARHGEF11,0.0952579015318066,0.0001599035721731,0.009639759003588922
GNLY,0.2429595833769475,0.0001599610664351,0.009639759003588922
CFD,0.3571564953417763,0.0001639799216142,0.009837550640956266
ULK1,0.1445283366481726,0.0001641475928599,0.009837550640956266
MIR3945HG,0.2225992777138072,0.0001665738689912,0.009905244675609083
SH3BP5L,0.1232950277399771,0.000166623388585,0.009905244675609083
TNFRSF9,0.0883814089814727,0.0001667238501066,0.009905244675609083
DAPK2,0.1195535433895109,0.0001670983588117,0.009905244675609083
RAB8A,0.1243622526954872,0.0001679502665378,0.009910136152973802
WWP2,0.0979791269758196,0.0001680919439415,0.009910136152973802
S1PR4,0.1310834920967227,0.0001691116206467,0.00994330623559178
PXN,0.1547737464670771,0.0001704789521091,0.00997164071479703
PHF21A,0.1344311472835757,0.0001705102434339,0.00997164071479703
SULT1A2,0.1402129906835538,0.0001723602309495,0.010052806499480893
PI3,0.2893236888935391,0.000174170672139,0.01013123789407472
LILRB2,0.1533704595415077,0.0001755256747613,0.010162649524485782
GSDMD,0.1002047524337905,0.0001756449653508,0.010162649524485782
IGF2R,0.1578708468543919,0.000177937439298,0.010260487909654127
LILRA1,0.1248102585575203,0.0001790267503513,0.010260487909654127
PRF1,0.2211349942426448,0.0001791968387783,0.010260487909654127
NECAB2,0.1546119124882228,0.0001792224962385,0.010260487909654127
GPS2,0.1367224536794715,0.0001812240426305,0.010347845268836031
RNF135,0.1567982727938872,0.0001821117277899,0.010371310570861976
ZMAT5,0.1313639484978548,0.0001836379232055,0.010403308224353366
NFIC,0.1440140165393089,0.0001842003526031,0.010403308224353366
NCOA1,0.1498958965769912,0.0001844981025479,0.010403308224353366
CHST2,0.0752718831780594,0.0001845863927649,0.010403308224353366
AKNA,0.1037402596043142,0.0001888448156965,0.01061581128030325
PRR13,0.1159903276457683,0.0001907936525042,0.010697721418115648
TMC4,0.1128441746048354,0.0001919326234526,0.010706434514895525
DGKZ,0.1463438605673603,0.0001919333238708,0.010706434514895525
HLA-A,0.0685106458704076,0.0001943908474849,0.010815787434869564
SLC25A20,0.1753866220035602,0.0001952200917749,0.01083421708306875
PITPNA,0.1248566593391249,0.000196453318133,0.010861124796031634
LST1,0.1534931609616521,0.0001967034322977,0.010861124796031634
CSRNP1,0.1349290275306192,0.0001975165741046,0.010876978038049802
MIR6748,0.1170255835863081,0.0001980834350336,0.010876978038049802
RAVER1,0.1747830210405103,0.0001984904748842,0.010876978038049802
IFNGR2,0.1498169998953233,0.000199189433581,0.010887854591845868
