Gene,LogFC,PValue,FDR
LOC100130872,0.2137951219512217,3.8137774503893175e-06,0.0012024453396118
SIRPD,0.1441064796399045,4.047544349643493e-06,0.0012273077485855
FAM102A,-0.1051192295613931,4.055485615958577e-06,0.0012273077485855
AMPD2,0.1902972260023023,4.083496615050834e-06,0.0012273077485855
MMP9,0.3827957081545072,4.118293065812193e-06,0.0012273077485855
LAT2,0.1062566000209361,4.349752577628704e-06,0.0012619274687026
CUEDC1,0.1450514916780063,4.3680379200460175e-06,0.0012619274687026
LTB4R,0.1673847028856547,4.408480240009279e-06,0.0012619274687026
IQSEC1,0.1387829687009318,4.5072151016642e-06,0.0012734346043727
CA4,0.2370536794724165,4.640895921567033e-06,0.0012943934714575
CTDSP1,0.155002637914789,4.721355416915495e-06,0.0013001656594303
NINJ1,0.2166674761854921,5.053946510348904e-06,0.001374357579158
IL17RA,0.1698533078614055,5.130117999261736e-06,0.0013778483589375
MYD88,0.1395368156600014,5.294269019186534e-06,0.0013812109993086
SLC44A2,0.1642001256149896,5.421476197216576e-06,0.0013812109993086
TFEB,0.1620913325656854,5.442913335940151e-06,0.0013812109993086
GBAP1,0.1632342928922856,5.445353337775912e-06,0.0013812109993086
MYO1F,0.17236526745525,5.490968616432488e-06,0.0013812109993086
FGR,0.1971408772113481,5.523574210059863e-06,0.0013812109993086
OSCAR,0.248627363131999,5.780362621394107e-06,0.001428997600323
CMIP,0.1549624760110255,6.007511151911645e-06,0.0014527246432859
BCL2,-0.0974838375379461,6.009892801458731e-06,0.0014527246432859
JARID2,0.1172947555741661,6.183858276598103e-06,0.0014783498550262
GRN,0.2099978296521154,6.35776262800671e-06,0.0014836144849855
PSTPIP1,0.1655550298335608,6.3690979654001086e-06,0.0014836144849855
BRMS1,0.1129505286297503,6.515771970320213e-06,0.0014836144849855
CHST15,0.1396706165602408,6.538519833978629e-06,0.0014836144849855
CST7,0.2561702292473562,6.610545951887468e-06,0.0014836144849855
SLC11A1,0.121631145538922,6.6150588390532105e-06,0.0014836144849855
GRK6,0.1140230869883804,6.775407398030567e-06,0.0014969747132701
SLX1B-SULT1A4,0.134704965281414,6.864422934198735e-06,0.0014969747132701
ATG13,0.1068413552461704,6.8810605068724725e-06,0.0014969747132701
ACTN4,0.2762146341463403,6.977693865723165e-06,0.0014977749462717
NLRX1,0.1145938134617399,7.022433671327207e-06,0.0014977749462717
PLEKHO2,0.149843881503191,7.09441951215242e-06,0.0014984378299696
SRA1,0.1188985763634464,7.290221290607877e-06,0.0015249881170882
NHSL2,0.1579716319480786,7.4312446416535475e-06,0.0015396831159921
DOK3,0.1533494818381644,7.734166817628866e-06,0.0015873282935614
DIRC2,0.1807265780383149,7.98620885413099e-06,0.00162373807123
DYSF,0.2345629854495978,8.06533760037629e-06,0.0016246427731128
SLPI,0.2678298544959698,8.149450080626756e-06,0.0016265255642572
ZDHHC18,0.1105106249345757,8.300226687423182e-06,0.0016415584689535
RAB1B,0.1469084685439146,8.503852018275038e-06,0.0016666783843024
SERPINA1,0.1212981785826441,8.801966511335296e-06,0.0017097034058401
LOC101928429,0.2445194807913733,8.89760036916389e-06,0.0017129849206297
TNFRSF1B,0.133084182979168,9.36268788793981e-06,0.0017742993297262
DGAT2,0.2069741233120492,9.379196640704389e-06,0.0017742993297262
C17orf62,0.152551931330473,9.514456782877028e-06,0.0017754473547508
CEBPA,0.1901062074740922,9.548487267563818e-06,0.0017754473547508
LILRB3,0.1768172563592571,1.008309252636533e-05,0.0018551766924534
KIR2DL4,0.146475941240098,1.0147829299102012e-05,0.0018551766924534
ITGA5,0.1553742698628681,1.0633472703291958e-05,0.0019109474006395
ARHGAP26,0.1496049931958536,1.0672127162514938e-05,0.0019109474006395
GMPR2,0.1988264210195724,1.0716413830293149e-05,0.0019109474006395
TKT,0.1577352664084585,1.0853375578579809e-05,0.0019180400840323
PPP1R10,0.1398041348267549,1.0932519899793816e-05,0.0019180400840323
TRPC4AP,0.1496401339893225,1.1230941634215469e-05,0.0019546330820188
NLRP12,0.1846176070344398,1.1467163374947513e-05,0.0019647391223247
TRAPPC1,0.1993864545169064,1.1469633120443164e-05,0.0019647391223247
CALCOCO1,0.1280229247356858,1.1616520226089256e-05,0.0019658713171683
HLA-E,0.1128916082208046,1.1656970807387877e-05,0.0019658713171683
HSD17B1,0.0874383335077979,1.1747619948720951e-05,0.0019659190152648
FLOT2,0.2512295613943269,1.1982870053258324e-05,0.0019799036348473
ADGRE5,0.2133385533340313,1.2013205230974234e-05,0.0019799036348473
MAPKAPK2,0.1204341114484099,1.2409841249029645e-05,0.0020298954614484
FTH1P5,0.1141818695697711,1.3034202319735146e-05,0.0021053652170362
BMX,0.266606699466136,1.3064780707878356e-05,0.0021053652170362
ATP6V0D1,0.1907591332565701,1.3187984490308346e-05,0.0021095926660783
MX2,0.1831533968386889,1.3620887088949755e-05,0.0021565377659104
KIR2DL2,0.222550256463939,1.3679715545651096e-05,0.0021565377659104
TECPR2,0.1970019365644297,1.3929608036342272e-05,0.0021699072960059
CSF1R,0.2037618339788558,1.3964009259518838e-05,0.0021699072960059
SCAND1,0.1481437035486221,1.4220968006493914e-05,0.0021941642480941
TMEM127,0.1047140933040235,1.4565193348255777e-05,0.0022314491640232
HCK,0.1988622840992331,1.470319051732707e-05,0.0022368385294017
CFP,0.2297182874489678,1.5233482088875462e-05,0.0022940305748806
YIPF3,0.1677402910080587,1.5349432816345994e-05,0.0022940305748806
HLA-G,0.1234849157332789,1.539547064732569e-05,0.0022940305748806
RIN3,0.1170213824627515,1.628862155785544e-05,0.0024106051836132
C10orf54,0.1603643672144876,1.679350439572727e-05,0.0024685316765476
B3GNTL1,0.1247592065319773,1.7026955097413158e-05,0.0024707519421904
TYK2,0.1802613838584754,1.7035752301933424e-05,0.0024707519421904
PGLYRP1,0.2790654035381559,1.7303817960523858e-05,0.0024930103293456
GAB2,0.1524833036742396,1.775710294267749e-05,0.0025314745604909
MSRB1,0.1600638542866104,1.7836157770663856e-05,0.0025314745604909
MICU1,0.1558173558044595,1.799495880113875e-05,0.0025314745604909
ROPN1L,0.177828388987753,1.803624715587696e-05,0.0025314745604909
USP12,-0.1634339893227263,1.833009022810987e-05,0.0025562250827726
TMEM120A,0.1829842771904113,1.869648767955253e-05,0.0025907139456602
INAFM1,0.2681301999371923,1.916031640232258e-05,0.0026381815400792
LOC101929368,0.1720657856170833,1.9458263562346788e-05,0.0026623554955902
ARRB2,0.159148832827384,1.9690639522332168e-05,0.0026773116425521
RNF24,0.2520270281586931,1.9993709341644315e-05,0.0027016344517234
STX10,0.1434253323563279,2.031837406513115e-05,0.0027282561086945
GLIPR2,0.1610610384172499,2.044154197734804e-05,0.0027282561086945
RAB37,0.1427658955302,2.06618015396191e-05,0.0027368477156021
ATG2A,0.2108243483722409,2.075752117096575e-05,0.0027368477156021
PPP1R15A,0.1946636553962095,2.1167125164970777e-05,0.002758606511597
ELL,0.1249035067518073,2.131338293881265e-05,0.002758606511597
BIN3,0.1592574060504556,2.137600417306591e-05,0.002758606511597
OSBPL2,0.1686438500994453,2.1429763293950792e-05,0.002758606511597
TSEN34,0.1707375693499422,2.2146668929848763e-05,0.002834122250405
ORAI3,0.1402885585679891,2.2578220297515235e-05,0.0028724513600727
SIPA1,0.1741666492201403,2.2926863822495112e-05,0.0028998483863859
PRKCD,0.2650813147702298,2.3193305292364712e-05,0.0029165916568519
FOSL2,0.1675791688474825,2.386949012407129e-05,0.0029843721703975
ADAM8,0.1907562859834612,2.402924277960572e-05,0.0029871781524018
TREM1,0.2326501622526962,2.438735554875818e-05,0.0029915093135416
ARSA,0.124956798911338,2.455244410750978e-05,0.0029915093135416
ZDHHC12,0.1230219198157653,2.4604332847294764e-05,0.0029915093135416
MIA-RAB4B,0.1548122404829213,2.461411938055376e-05,0.0029915093135416
DEDD2,0.1311017481419458,2.515264360793132e-05,0.0030268513720865
C5AR1,0.2187737045954154,2.5217150207246465e-05,0.0030268513720865
MAPKAPK3,0.1188367319166738,2.532231439759845e-05,0.0030268513720865
FKBP9,0.1763961687428032,2.574903515005072e-05,0.0030610396704336
VASP,0.1562263791479115,2.589115712716256e-05,0.0030612071918555
NCF1C,0.1696141735580454,2.6996551967700747e-05,0.0031746485840936
CDA,0.2631557835234996,2.726743104085981e-05,0.0031892632381392
CXCR1,0.1915579189783294,2.787645081434508e-05,0.0032232925673461
PSMB3,0.1538092117659371,2.7980637472563573e-05,0.0032232925673461
KCTD2,0.0819317596566513,2.8002863490159702e-05,0.0032232925673461
MID1IP1,0.180775337590286,2.849943240132323e-05,0.0032631850099515
VPS37B,0.2028464984821516,2.884210360758088e-05,0.0032700142738884
PPP1R18,0.1634604836177082,2.8859698487087352e-05,0.0032700142738884
GPSM3,0.1638974877001988,2.902491485623568e-05,0.0032716944181212
MIR7109,0.1666618235109389,2.926359690576044e-05,0.0032777521974326
DCTN3,0.1149233539202345,2.93799898184035e-05,0.0032777521974326
MVP,0.1613929027530609,2.9702396866459683e-05,0.0032968145093358
DGAT1,0.198515817020831,3.0870865575439944e-05,0.0034015903030561
KIR3DL2,0.2181236365539627,3.09877592527761e-05,0.0034015903030561
MYO9B,0.122170606092328,3.118688022606766e-05,0.0034015903030561
PLEKHF1,0.1552570920129792,3.127180237238434e-05,0.0034015903030561
TOM1,0.154272333298441,3.182678445955823e-05,0.0034334735929072
HSH2D,0.2114084162043319,3.1880563813710413e-05,0.0034334735929072
PDLIM7,0.1445712491214434,3.215122763067583e-05,0.0034455662911593
STK10,0.1396786140479449,3.2313738783228137e-05,0.0034460068001427
FLII,0.1279707735789825,3.3153790753246505e-05,0.0035183449650579
NR1H2,0.2233695802365742,3.3929840187377814e-05,0.0035637801628633
GMIP,0.1551906207474092,3.396956592466577e-05,0.0035637801628633
GPATCH3,0.1206346278655923,3.407337503450172e-05,0.0035637801628633
THBD,0.1887846330995506,3.530690937323219e-05,0.00367512829385
BAP1,0.1508716110122474,3.6024257885721315e-05,0.0037319415728755
NCF4,0.1881447817439543,3.6557723500649645e-05,0.0037692572263347
RAB43,0.172791604731497,3.747879074243096e-05,0.0038459957198187
STXBP2,0.1244205066471257,3.812536244550225e-05,0.0038939777464878
MPZL3,0.1208685788059611,3.915984521801493e-05,0.0039809459472799
CORO1A,0.1885477022924746,3.955728249369694e-05,0.0040026450262808
SSH1,0.0990715272689204,4.0553108606289736e-05,0.0040737979241387
PYCARD,0.1921337171569135,4.063498733799623e-05,0.0040737979241387
RNF169,0.1545817858264424,4.154515193936245e-05,0.0041364855946075
GTF3C1,0.1233755050769405,4.164055827253751e-05,0.0041364855946075
ACTB,0.1495461460623186,4.22763023101466e-05,0.0041652696830436
RHOH,-0.2041840154925145,4.23460655801645e-05,0.0041652696830436
NFAM1,0.1313311734533657,4.263131715113158e-05,0.0041652696830436
SLC9A1,0.0704401898182078,4.283122754219028e-05,0.0041652696830436
PRKCZ,0.1246799120695065,4.290473878235086e-05,0.0041652696830436
NIT1,0.1029003349733077,4.307909348126034e-05,0.0041652696830436
ACTN1,0.1258100806029514,4.341601512918065e-05,0.0041792717218377
GNAI2,0.1882355281063557,4.384130481557962e-05,0.0042016193227442
KMT2D,0.0889433930004539,4.4355669207020105e-05,0.0042322701035031
ICAM3,0.1752164346278668,4.45985247059876e-05,0.0042368598470688
ETV6,0.1275838919711089,4.524144219517189e-05,0.0042792503258954
LETM2,0.1445896891028999,4.563616179866804e-05,0.0042978991338962
HK3,0.1757865382602315,4.681212026324449e-05,0.0043896451565813
REPS2,0.1859919676192483,4.732636076791925e-05,0.0044188196502407
CLN3,0.127959499633623,4.797028786152308e-05,0.0044516834855776
MTMR3,0.1389405003663784,4.808759453508348e-05,0.0044516834855776
SIGLEC7,0.1179580097002688,4.834239949420519e-05,0.0044563089025272
TRIM21,0.1599493143515111,4.868926443562372e-05,0.0044693457712953
TPGS1,0.1102652255835865,5.000066751657951e-05,0.0045704391673243
APLP2,0.1307177666701564,5.095216099764903e-05,0.0046379257845349
NPLOC4,0.110727206113264,5.167276513401893e-05,0.0046777365666917
MIR6791,0.1358462472521724,5.181955930005548e-05,0.0046777365666917
URB1,-0.0782188143340665,5.291581960416459e-05,0.0047569572540851
PFN1,0.1763818905056027,5.352723009834032e-05,0.0047921188921374
LGR6,0.1618705118810837,5.448967502706719e-05,0.0048582904926796
AP1M1,0.1792984088767939,5.534661376310567e-05,0.004896322608894
ALDOA,0.1370038452144175,5.536815307405759e-05,0.004896322608894
SELPLG,0.1626747095153344,5.5899749499005605e-05,0.004896322608894
AKT1,0.1783762378310474,5.598310762457383e-05,0.004896322608894
KIF1B,0.1220637548414114,5.622612215544008e-05,0.004896322608894
TRANK1,0.183185952056947,5.6266635358470405e-05,0.004896322608894
SASH3,0.1486749502773996,5.795010155312427e-05,0.0050227269294351
IER2,0.1182378938553334,5.863237138744064e-05,0.0050616953949752
ITPRIP,0.1336804773369628,6.015542932849648e-05,0.0051726536167645
CD300LF,0.1574084999476621,6.172808387538572e-05,0.0052793005836335
RAB24,0.1731767193551778,6.188102269945061e-05,0.0052793005836335
ARAP1,0.1356223943612828,6.332397250000165e-05,0.005361492494539
POTEKP,0.1319012456819841,6.350672537824171e-05,0.005361492494539
TOP3A,0.105070804982728,6.35837767681484e-05,0.005361492494539
G6PD,0.2390046686904643,6.460240914892792e-05,0.0054263529383587
MAP7D1,0.1929021249869151,6.53000396289048e-05,0.0054638552389493
FAM84B,-0.0786191144143204,6.611458617887128e-05,0.0055108154111928
KLHDC8B,0.1548425206741335,6.651836241142935e-05,0.0055233090620635
CYBA,0.1091041243588399,6.974580345256951e-05,0.0057692773920557
CENPBD1P1,0.1441068215918202,7.023066859471613e-05,0.0057873795275683
HLA-B,0.1243745490072942,7.06073898990071e-05,0.0057964670462373
KAT8,0.0972888830733813,7.185167620905444e-05,0.0058764406613833
CEBPB,0.1647580445933201,7.22569742871801e-05,0.0058874549648599
MYH9,0.1967653511985769,7.367533639339196e-05,0.0059806229225307
RAB11FIP1,0.1347350291356992,7.39714584769789e-05,0.0059823385842627
TRAK2,-0.2323524233225153,7.606624129804947e-05,0.0061077697447464
SIPA1L1,0.1121998674063977,7.608391637905196e-05,0.0061077697447464
ARHGAP9,0.1805815136606305,7.714787175805685e-05,0.0061702525518717
CD74,0.1179200041871668,7.742950800556129e-05,0.0061702525518717
HAL,0.1315483792176977,7.813772935831056e-05,0.006203964606533
PPP2R1A,0.1421890505600327,7.954947717046355e-05,0.0062930868212488
METRNL,0.1898903171778512,8.013645440633647e-05,0.0063165527739487
GRB2,0.0837218535189645,8.081923470526197e-05,0.0063473734693609
TYMP,0.2312888202658838,8.180815699343399e-05,0.0064019296956552
FMNL1,0.1828017690777752,8.398345002030375e-05,0.0065486019899344
PLBD1,0.1785535224536811,8.476607911708456e-05,0.0065609024785987
FAM53C,0.1513756306919269,8.494493552783874e-05,0.0065609024785987
VAV1,0.1199438082277826,8.504594341369091e-05,0.0065609024785987
PRKACA,0.1520348058201612,8.753302554121719e-05,0.0067140074421895
ARSK,-0.0724514253812067,8.783427478252796e-05,0.0067140074421895
INPP5D,0.1038485571722684,8.795642937366246e-05,0.0067140074421895
BEST1,0.1152183188527153,8.86188774987972e-05,0.0067409219579941
SLA,0.1593158484245798,9.024637176893424e-05,0.006833185572825
ACIN1,0.1674630796608402,9.046000666392188e-05,0.006833185572825
SLC45A4,0.1669886527792323,9.374033127717225e-05,0.0069918200259878
GCM1,0.112612100910709,9.400457782151866e-05,0.0069918200259878
ANK3,-0.1115941756516276,9.406406076947506e-05,0.0069918200259878
RGL4,0.2163706898356538,9.4098473285799e-05,0.0069918200259878
THEMIS2,0.1515295090547468,9.416700839413628e-05,0.0069918200259878
TSPAN14,0.1428518475871456,9.504600070996035e-05,0.0070330594097783
CSK,0.1325408144038533,9.536899682301108e-05,0.0070330594097783
BCL2L2-PABPN1,0.1303476708887263,9.74207524477702e-05,0.0071600961807474
HCLS1,0.1304834292892298,9.979153104920904e-05,0.0073096456497493
PFKFB4,0.1049604626818787,0.0001023218199477,0.007469836217994
PPM1M,0.1556689626295408,0.0001030511543081,0.007492022900174
PSAP,0.1233173662723743,0.00010331449644,0.007492022900174
